,year,month,day,hour,forecast,temp,hum
334,2017,1,21,23,25,-7,55
335,2017,1,21,23,46,-7,65
336,2017,1,22,2,25,-5,45
337,2017,1,22,2,46,-6,60
338,2017,1,22,5,25,-3,45
339,2017,1,22,5,46,-2,40
340,2017,1,22,8,25,-4,55
341,2017,1,22,8,46,-1,40
342,2017,1,22,11,25,-5,60
343,2017,1,22,11,46,-4,55
344,2017,1,22,14,25,-6,60
345,2017,1,22,14,46,-5,65
346,2017,1,22,17,25,-5,60
347,2017,1,22,17,46,-6,70
348,2017,1,22,20,25,-6,65
349,2017,1,22,20,46,-8,75
350,2017,1,22,23,25,-6,60
351,2017,1,22,23,46,-9,80
352,2017,1,23,2,25,-2,40
353,2017,1,23,2,46,-7,70
354,2017,1,23,5,25,-1,40
355,2017,1,23,5,46,-1,45
356,2017,1,23,8,25,-4,55
357,2017,1,23,8,46,2,40
358,2017,1,23,11,25,-5,70
359,2017,1,23,11,46,-3,65
360,2017,1,23,14,25,-7,75
361,2017,1,23,14,46,-4,75
362,2017,1,23,17,25,-8,80
363,2017,1,23,17,46,-5,80
364,2017,1,23,20,25,-9,80
365,2017,1,23,20,46,-6,85
366,2017,1,23,23,25,-8,70
367,2017,1,23,23,46,-8,85
368,2017,1,24,2,25,0,45
369,2017,1,24,2,46,-5,75
370,2017,1,24,5,25,2,40
371,2017,1,24,5,46,4,50
372,2017,1,24,8,25,-3,70
373,2017,1,24,8,46,5,55
374,2017,1,24,11,25,-5,80
375,2017,1,24,11,46,2,70
376,2017,1,24,14,25,-5,85
377,2017,1,24,14,46,3,70
378,2017,1,24,17,25,-6,85
379,2017,1,24,17,46,4,70
380,2017,1,24,20,25,-8,95
381,2017,1,24,20,46,5,75
382,2017,1,24,23,25,-5,80
383,2017,1,24,23,46,0,70
384,2017,1,25,2,25,3,50
385,2017,1,25,2,46,-2,65
386,2017,1,25,5,25,5,60
387,2017,1,25,5,46,0,45
388,2017,1,25,8,25,2,70
389,2017,1,25,8,46,0,40
390,2017,1,25,11,25,4,70
391,2017,1,25,11,46,-3,50
392,2017,1,25,14,25,5,75
393,2017,1,25,14,46,-5,65
394,2017,1,25,17,25,3,80
395,2017,1,25,17,46,-6,75
396,2017,1,25,20,25,-2,70
397,2017,1,25,20,46,-6,70
398,2017,1,25,23,25,-3,60
399,2017,1,25,23,46,-7,70
400,2017,1,26,2,25,-1.1,45
401,2017,1,26,2,46,-6,55
402,2017,1,26,5,25,-0.1,40
403,2017,1,26,5,46,0.9,20
404,2017,1,26,8,25,-3,50
405,2017,1,26,8,46,7,20
406,2017,1,26,11,25,-5,65
407,2017,1,26,11,46,0,50
408,2017,1,26,14,25,-6,75
409,2017,1,26,14,46,-1.9,65
410,2017,1,26,17,25,-6,70
411,2017,1,26,17,46,-2,70
412,2017,1,26,20,25,-7.9,74
413,2017,1,26,20,46,-1.6,70
414,2017,1,26,23,25,-5.4,55
415,2017,1,26,23,46,-2,80
416,2017,1,27,2,25,1,20
417,2017,1,27,2,46,-1,90
418,2017,1,27,5,25,7,20
419,2017,1,27,5,46,1,90
420,2017,1,27,8,25,1,45
421,2017,1,27,8,46,2,90
422,2017,1,27,11,25,-1,60
423,2017,1,27,11,46,2,95
424,2017,1,27,14,25,-2,65
425,2017,1,27,14,46,1,90
426,2017,1,27,17,25,-2,60
427,2017,1,27,17,46,1,90
428,2017,1,27,20,25,-2,70
429,2017,1,27,20,46,0,80
430,2017,1,27,23,25,-1,90
431,2017,1,27,23,46,-1,75
432,2017,1,28,2,25,1,90
433,2017,1,28,2,46,-4,65
434,2017,1,28,5,25,2,95
435,2017,1,28,5,46,-3,50
436,2017,1,28,8,25,1,95
437,2017,1,28,8,46,-3,45
438,2017,1,28,11,25,1,90
439,2017,1,28,11,46,-5,50
440,2017,1,28,14,25,0,85
441,2017,1,28,14,46,-6,55
442,2017,1,28,17,25,-1,80
443,2017,1,28,17,46,-8,60
444,2017,1,28,20,25,-3,70
445,2017,1,28,20,46,-8,65
446,2017,1,28,23,25,-5,65
447,2017,1,28,23,46,-8,65
448,2017,1,29,2,25,-3,50
449,2017,1,29,2,46,-7,60
450,2017,1,29,5,25,-3,40
451,2017,1,29,5,46,-3,35
452,2017,1,29,8,25,-4,50
453,2017,1,29,8,46,-1,35
454,2017,1,29,11,25,-6,55
455,2017,1,29,11,46,-3,50
456,2017,1,29,14,25,-8,60
457,2017,1,29,14,46,-5,70
458,2017,1,29,17,25,-9,65
459,2017,1,29,17,46,-5,70
460,2017,1,29,20,25,-10,70
461,2017,1,29,20,46,-2,65
462,2017,1,29,23,25,-7,65
463,2017,1,29,23,46,-2,65
464,2017,1,30,2,25,-3,40
465,2017,1,30,2,46,-1,65
466,2017,1,30,5,25,-1,40
467,2017,1,30,5,46,1,40
468,2017,1,30,8,25,-3,55
469,2017,1,30,8,46,0,35
470,2017,1,30,11,25,-5,70
471,2017,1,30,11,46,-3,45
472,2017,1,30,14,25,-5,70
473,2017,1,30,14,46,-4,50
474,2017,1,30,17,25,-2,65
475,2017,1,30,17,46,-5,60
476,2017,1,30,20,25,-1,65
477,2017,1,30,20,46,-7,60
478,2017,1,30,23,25,-1,60
479,2017,1,30,23,46,-8,75
480,2017,1,31,2,25,0,35
481,2017,1,31,2,46,-6,70
482,2017,1,31,5,25,-1,35
483,2017,1,31,5,46,1,50
484,2017,1,31,8,25,-4,45
485,2017,1,31,8,46,3,50
486,2017,1,31,11,25,-5,50
487,2017,1,31,11,46,1,65
488,2017,1,31,14,25,-6,60
489,2017,1,31,14,46,-1,75
490,2017,1,31,17,25,-6,65
491,2017,1,31,17,46,-2,85
492,2017,1,31,20,25,-7,70
493,2017,1,31,20,46,-2,85
494,2017,1,31,23,25,-5,65
495,2017,1,31,23,46,-3,85
496,2017,2,1,2,25,2,50
497,2017,2,1,2,46,-1,85
498,2017,2,1,5,25,4,50
499,2017,2,1,5,46,4,55
500,2017,2,1,8,25,1,70
501,2017,2,1,8,46,6,50
502,2017,2,1,11,25,-2,80
503,2017,2,1,11,46,2,70
504,2017,2,1,14,25,-2,85
505,2017,2,1,14,46,-1,80
506,2017,2,1,17,25,-2,85
507,2017,2,1,17,46,-3,85
508,2017,2,1,20,25,-3,90
509,2017,2,1,20,46,-4,90
510,2017,2,1,23,25,-2,90
511,2017,2,1,23,46,-4,90
512,2017,2,2,2,25,5,55
513,2017,2,2,2,46,-2,90
514,2017,2,2,5,25,6,50
515,2017,2,2,5,46,4,70
516,2017,2,2,8,25,3,70
517,2017,2,2,8,46,5,65
518,2017,2,2,11,25,-2,80
519,2017,2,2,11,46,4,75
520,2017,2,2,14,25,-3,90
521,2017,2,2,14,46,2,85
522,2017,2,2,17,25,-4,90
523,2017,2,2,17,46,1,90
524,2017,2,2,20,25,-4,90
525,2017,2,2,20,46,0,90
526,2017,2,2,23,25,-1,90
527,2017,2,2,23,46,0,95
528,2017,2,3,2,25,4,70
529,2017,2,3,2,46,0,95
530,2017,2,3,5,25,6,65
531,2017,2,3,5,46,2,85
532,2017,2,3,8,25,4,70
533,2017,2,3,8,46,3,75
534,2017,2,3,11,25,2,80
535,2017,2,3,11,46,2,70
536,2017,2,3,14,25,1,80
537,2017,2,3,14,46,0,65
538,2017,2,3,17,25,0,90
539,2017,2,3,17,46,-1,60
540,2017,2,3,20,25,0,95
541,2017,2,3,20,46,-3,60
542,2017,2,3,23,25,1,95
543,2017,2,3,23,46,-4,65
544,2017,2,4,2,25,2,90
545,2017,2,4,2,46,-3,55
546,2017,2,4,5,25,3,80
547,2017,2,4,5,46,-1,50
548,2017,2,4,8,25,3,75
549,2017,2,4,8,46,1,45
550,2017,2,4,11,25,1,70
551,2017,2,4,11,46,-1,55
552,2017,2,4,14,25,-1,60
553,2017,2,4,14,46,-3,65
554,2017,2,4,17,25,-3,65
555,2017,2,4,17,46,-4,65
556,2017,2,4,20,25,-3,65
557,2017,2,4,20,46,-5,70
558,2017,2,4,23,25,-3,55
559,2017,2,4,23,46,-6,75
560,2017,2,5,2,25,-1,50
561,2017,2,5,2,46,-4,60
562,2017,2,5,5,25,1,45
563,2017,2,5,5,46,1,40
564,2017,2,5,8,25,-1,50
565,2017,2,5,8,46,2,45
566,2017,2,5,11,25,-3,65
567,2017,2,5,11,46,0,60
568,2017,2,5,14,25,-4,65
569,2017,2,5,14,46,-2,70
570,2017,2,5,17,25,-5,65
571,2017,2,5,17,46,-2,65
572,2017,2,5,20,25,-6,75
573,2017,2,5,20,46,-4,70
574,2017,2,5,23,25,-4,60
575,2017,2,5,23,46,-5,80
576,2017,2,6,2,25,0,35
577,2017,2,6,2,46,-2,70
578,2017,2,6,5,25,2,45
579,2017,2,6,5,46,2,40
580,2017,2,6,8,25,-1,60
581,2017,2,6,8,46,2,50
582,2017,2,6,11,25,-2,70
583,2017,2,6,11,46,1,50
584,2017,2,6,14,25,-3,70
585,2017,2,6,14,46,0,55
586,2017,2,6,17,25,-4,70
587,2017,2,6,17,46,-2,60
588,2017,2,6,20,25,-5,80
589,2017,2,6,20,46,-4,60
590,2017,2,6,23,25,-2,65
591,2017,2,6,23,46,-5,60
592,2017,2,7,2,25,2,40
593,2017,2,7,2,46,-4,45
594,2017,2,7,5,25,2,50
595,2017,2,7,5,46,-2,40
596,2017,2,7,8,25,0.3,55
597,2017,2,7,8,46,-1.3,45
598,2017,2,7,11,25,-0.6,55
599,2017,2,7,11,46,-3.7,50
600,2017,2,7,14,25,-2,55
601,2017,2,7,14,46,-4,55
602,2017,2,7,17,25,-4,60
603,2017,2,7,17,46,-4,50
604,2017,2,7,20,25,-4,60
605,2017,2,7,20,46,-6,55
606,2017,2,7,23,25,-4,45
607,2017,2,7,23,46,-6,50
608,2017,2,8,2,25,-2,40
609,2017,2,8,2,46,-6,50
610,2017,2,8,5,25,-2,45
611,2017,2,8,5,46,-4,45
612,2017,2,8,8,25,-3,45
613,2017,2,8,8,46,-4,50
614,2017,2,8,11,25,-4,50
615,2017,2,8,11,46,-5,50
616,2017,2,8,14,25,-4,50
617,2017,2,8,14,46,-4,55
618,2017,2,8,17,25,-6,55
619,2017,2,8,17,46,-5,55
620,2017,2,8,20,25,-6,55
621,2017,2,8,20,46,-6,55
622,2017,2,8,23,25,-6,50
623,2017,2,8,23,46,-6,60
624,2017,2,9,2,25,-5,45
625,2017,2,9,2,46,-5,55
626,2017,2,9,5,25,-4,45
627,2017,2,9,5,46,-2,50
628,2017,2,9,8,25,-5,50
629,2017,2,9,8,46,0,45
630,2017,2,9,11,25,-4,55
631,2017,2,9,11,46,-2,50
632,2017,2,9,14,25,-4,50
633,2017,2,9,14,46,-3,60
634,2017,2,9,17,25,-5,60
635,2017,2,9,17,46,-4,55
636,2017,2,9,20,25,-6,60
637,2017,2,9,20,46,-4,65
638,2017,2,9,23,25,-5,55
639,2017,2,9,23,46,-5,65
640,2017,2,10,2,25,-2,45
641,2017,2,10,2,46,-3,55
642,2017,2,10,5,25,0,40
643,2017,2,10,5,46,0,40
644,2017,2,10,8,25,-2,50
645,2017,2,10,8,46,1,40
646,2017,2,10,11,25,-3,60
647,2017,2,10,11,46,-1,55
648,2017,2,10,14,25,-4,60
649,2017,2,10,14,46,-2,65
650,2017,2,10,17,25,-5,65
651,2017,2,10,17,46,-4,70
652,2017,2,10,20,25,-5,65
653,2017,2,10,20,46,-4,80
654,2017,2,10,23,25,-3,60
655,2017,2,10,23,46,-5,80
656,2017,2,11,2,25,1,40
657,2017,2,11,2,46,-1,70
658,2017,2,11,5,25,1,40
659,2017,2,11,5,46,4,40
660,2017,2,11,8,25,-1,55
661,2017,2,11,8,46,6,45
662,2017,2,11,11,25,-3,65
663,2017,2,11,11,46,2,65
664,2017,2,11,14,25,-4,70
665,2017,2,11,14,46,-1,75
666,2017,2,11,17,25,-5,80
667,2017,2,11,17,46,-3,65
668,2017,2,11,20,25,-6,80
669,2017,2,11,20,46,-3,65
670,2017,2,11,23,25,-2,65
671,2017,2,11,23,46,-5,70
672,2017,2,12,2,25,5,45
673,2017,2,12,2,46,-2,65
674,2017,2,12,5,25,6,55
675,2017,2,12,5,46,2,45
676,2017,2,12,8,25,2,75
677,2017,2,12,8,46,3,40
678,2017,2,12,11,25,0,85
679,2017,2,12,11,46,0,60
680,2017,2,12,14,25,-2,65
681,2017,2,12,14,46,-3,80
682,2017,2,12,17,25,-3,70
683,2017,2,12,17,46,-4,85
684,2017,2,12,20,25,-4,70
685,2017,2,12,20,46,-5,90
686,2017,2,12,23,25,-2,65
687,2017,2,12,23,46,-5,90
688,2017,2,13,2,25,2,40
689,2017,2,13,2,46,-2,80
690,2017,2,13,5,25,3,40
691,2017,2,13,5,46,5,40
692,2017,2,13,8,25,0,55
693,2017,2,13,8,46,8,40
694,2017,2,13,11,25,-3,80
695,2017,2,13,11,46,4,60
696,2017,2,13,14,25,-4,85
697,2017,2,13,14,46,1,80
698,2017,2,13,17,25,-5,90
699,2017,2,13,17,46,0,80
700,2017,2,13,20,25,-5,95
701,2017,2,13,20,46,-2,80
702,2017,2,13,23,25,-2,80
703,2017,2,13,23,46,-2,80
704,2017,2,14,2,25,6,45
705,2017,2,14,2,46,2,70
706,2017,2,14,5,25,8,40
707,2017,2,14,5,46,10,60
708,2017,2,14,8,25,4,60
709,2017,2,14,8,46,11,65
710,2017,2,14,11,25,1,80
711,2017,2,14,11,46,9,75
712,2017,2,14,14,25,0,80
713,2017,2,14,14,46,9,80
714,2017,2,14,17,25,-2,80
715,2017,2,14,17,46,8,85
716,2017,2,14,20,25,-2,75
717,2017,2,14,20,46,6,90
718,2017,2,14,23,25,2,75
719,2017,2,14,23,46,3,85
720,2017,2,15,2,25,9,60
721,2017,2,15,2,46,1,70
722,2017,2,15,5,25,11,60
723,2017,2,15,5,46,3,50
724,2017,2,15,8,25,9,75
725,2017,2,15,8,46,3,40
726,2017,2,15,11,25,9,80
727,2017,2,15,11,46,0,45
728,2017,2,15,14,25,8,85
729,2017,2,15,14,46,-2,60
730,2017,2,15,17,25,5,90
731,2017,2,15,17,46,-4,60
732,2017,2,15,20,25,2,85
733,2017,2,15,20,46,-5,55
734,2017,2,15,23,25,0,65
735,2017,2,15,23,46,-6,55
736,2017,2,16,2,25,1,45
737,2017,2,16,2,46,-3,40
738,2017,2,16,5,25,2,40
739,2017,2,16,5,46,0,35
740,2017,2,16,8,25,-1,45
741,2017,2,16,8,46,2,40
742,2017,2,16,11,25,-3,55
743,2017,2,16,11,46,0,50
744,2017,2,16,14,25,-4,60
745,2017,2,16,14,46,-3,75
746,2017,2,16,17,25,-5,55
747,2017,2,16,17,46,-4,80
748,2017,2,16,20,25,-6,55
749,2017,2,16,20,46,-4,80
750,2017,2,16,23,25,-3,45
751,2017,2,16,23,46,-3,80
752,2017,2,17,2,25,1,35
753,2017,2,17,2,46,-1,70
754,2017,2,17,5,25,2,40
755,2017,2,17,5,46,6,45
756,2017,2,17,8,25,1,55
757,2017,2,17,8,46,7,55
758,2017,2,17,11,25,-1,65
759,2017,2,17,11,46,7,65
760,2017,2,17,14,25,-3,80
761,2017,2,17,14,46,8,70
762,2017,2,17,17,25,-4,80
763,2017,2,17,17,46,7,85
764,2017,2,17,20,25,-4,80
765,2017,2,17,20,46,5,85
766,2017,2,17,23,25,-1,70
767,2017,2,17,23,46,0,75
768,2017,2,18,2,25,5,50
769,2017,2,18,2,46,-3,65
770,2017,2,18,5,25,7,55
771,2017,2,18,5,46,-2,50
772,2017,2,18,8,25,7,65
773,2017,2,18,8,46,-1,45
774,2017,2,18,11,25,7,80
775,2017,2,18,11,46,-2,50
776,2017,2,18,14,25,7,85
777,2017,2,18,14,46,-4,55
778,2017,2,18,17,25,5,90
779,2017,2,18,17,46,-5,55
780,2017,2,18,20,25,0,70
781,2017,2,18,20,46,-6,60
782,2017,2,18,23,25,-2,65
