index,temp_25,temp_46,humid_25,humid_46
2016-04-05 14:00:00,22.200001,16.1,19.0,64.0
2016-04-05 17:00:00,18.9,18.200001,29.0,59.0
2016-04-05 20:00:00,13.7,15.4,59.0,64.0
2016-04-05 23:00:00,11.9,12.1,88.0,77.0
2016-04-06 02:00:00,10.0,9.2,94.0,88.0
2016-04-06 05:00:00,9.7,7.0,95.0,95.0
2016-04-06 08:00:00,12.0,6.2,82.0,94.0
2016-04-06 11:00:00,16.0,10.0,66.0,67.0
2016-04-06 14:00:00,18.299999,15.0,60.0,30.0
2016-04-06 17:00:00,15.6,16.5,64.0,25.0
2016-04-06 20:00:00,11.3,14.0,80.0,34.0
2016-04-06 23:00:00,9.0,9.6,89.0,61.0
2016-04-07 02:00:00,7.0,8.0,95.0,76.0
2016-04-07 05:00:00,7.0,6.9,94.0,92.0
2016-04-07 08:00:00,9.9,6.1,68.0,93.0
2016-04-07 11:00:00,15.5,9.2,35.0,77.0
2016-04-07 14:00:00,16.9,14.8,28.0,51.0
2016-04-07 17:00:00,13.7,16.700001,54.0,54.0
2016-04-07 20:00:00,9.4,13.7,77.0,59.0
2016-04-07 23:00:00,8.1,10.6,90.0,75.0
2016-04-08 02:00:00,6.9,8.7,94.0,85.0
2016-04-08 05:00:00,5.9,8.6,94.0,90.0
2016-04-08 08:00:00,9.4,8.6,79.0,89.0
2016-04-08 11:00:00,14.8,12.5,59.0,78.0
2016-04-08 14:00:00,16.799999,17.0,55.0,51.0
2016-04-08 17:00:00,16.200001,16.799999,59.0,57.0
2016-04-08 20:00:00,13.3,15.1,71.0,68.0
2016-04-08 23:00:00,10.4,11.1,85.0,75.0
2016-04-09 02:00:00,9.1,9.1,90.0,85.0
2016-04-09 05:00:00,8.1,7.2,89.0,95.0
2016-04-09 08:00:00,12.9,7.1,79.0,95.0
2016-04-09 11:00:00,16.4,12.0,51.0,67.0
2016-04-09 14:00:00,17.6,16.1,57.0,47.0
2016-04-09 17:00:00,15.4,18.1,68.0,42.0
2016-04-09 20:00:00,11.3,15.7,79.0,47.0
2016-04-09 23:00:00,9.0,12.6,88.0,62.0
2016-04-10 02:00:00,7.1,10.3,94.0,64.0
2016-04-10 05:00:00,7.2,9.1,85.0,73.0
2016-04-10 08:00:00,12.1,8.0,67.0,61.0
2016-04-10 11:00:00,16.0,12.0,39.0,52.0
2016-04-10 14:00:00,18.1,17.5,29.0,38.0
2016-04-10 17:00:00,15.4,20.5,39.0,42.0
2016-04-10 20:00:00,11.1,17.0,62.0,63.0
2016-04-10 23:00:00,10.1,14.4,76.0,84.0
2016-04-11 02:00:00,9.1,14.0,75.0,90.0
2016-04-11 05:00:00,8.1,15.8,62.0,94.0
2016-04-11 08:00:00,12.9,14.4,52.0,94.0
2016-04-11 11:00:00,18.299999,13.7,37.0,90.0
