,year,day,hour,forecast,temp,hum
328,2018,21,14,25,-2.0,65.0
329,2018,21,14,46,-8.0,55.0
330,2018,21,17,25,-6.0,60.0
331,2018,21,17,46,-9.0,60.0
332,2018,21,20,25,-9.0,55.0
333,2018,21,20,46,-11.0,50.0
334,2018,21,23,25,-10.0,50.0
335,2018,21,23,46,-12.0,55.0
336,2018,22,2,25,-9.0,45.0
337,2018,22,2,46,-12.0,55.0
338,2018,22,5,25,-8.0,45.0
339,2018,22,5,46,-10.0,50.0
340,2018,22,8,25,-8.0,55.0
341,2018,22,8,46,-10.0,45.0
342,2018,22,11,25,-8.0,55.0
343,2018,22,11,46,-11.0,55.0
344,2018,22,14,25,-9.0,55.0
345,2018,22,14,46,-11.0,55.0
346,2018,22,17,25,-11.0,50.0
347,2018,22,17,46,-12.0,55.0
348,2018,22,20,25,-12.0,50.0
349,2018,22,20,46,-12.0,55.0
350,2018,22,23,25,-12.0,55.0
351,2018,22,23,46,-12.0,55.0
352,2018,23,2,25,-10.0,45.0
353,2018,23,2,46,-11.0,50.0
354,2018,23,5,25,-10.0,45.0
355,2018,23,5,46,-9.0,35.0
356,2018,23,8,25,-11.0,55.0
357,2018,23,8,46,-8.0,40.0
358,2018,23,11,25,-11.0,55.0
359,2018,23,11,46,-10.0,45.0
360,2018,23,14,25,-12.0,55.0
361,2018,23,14,46,-10.0,50.0
362,2018,23,17,25,-12.0,55.0
363,2018,23,17,46,-10.0,50.0
364,2018,23,20,25,-13.0,50.0
365,2018,23,20,46,-12.0,50.0
366,2018,23,23,25,-12.0,45.0
367,2018,23,23,46,-12.0,50.0
368,2018,24,2,25,-9.0,40.0
369,2018,24,2,46,-13.0,50.0
370,2018,24,5,25,-8.0,40.0
371,2018,24,5,46,-10.0,45.0
372,2018,24,8,25,-10.0,50.0
373,2018,24,8,46,-9.0,45.0
374,2018,24,11,25,-10.0,50.0
375,2018,24,11,46,-10.0,50.0
376,2018,24,14,25,-11.0,50.0
377,2018,24,14,46,-11.0,55.0
378,2018,24,17,25,-12.0,50.0
379,2018,24,17,46,-11.0,60.0
380,2018,24,20,25,-13.0,50.0
381,2018,24,20,46,-12.0,70.0
382,2018,24,23,25,-13.0,50.0
383,2018,24,23,46,-13.0,70.0
384,2018,25,2,25,-11.0,50.0
385,2018,25,2,46,-11.0,65.0
386,2018,25,5,25,-9.0,45.0
387,2018,25,5,46,-5.0,40.0
388,2018,25,8,25,-11.0,50.0
389,2018,25,8,46,-3.0,35.0
390,2018,25,11,25,-12.0,55.0
391,2018,25,11,46,-5.0,45.0
392,2018,25,14,25,-11.0,60.0
393,2018,25,14,46,-6.0,50.0
394,2018,25,17,25,-12.0,65.0
395,2018,25,17,46,-6.0,55.0
396,2018,25,20,25,-13.0,70.0
397,2018,25,20,46,-6.0,55.0
398,2018,25,23,25,-12.0,60.0
399,2018,25,23,46,-7.0,55.0
400,2018,26,2,25,-5.0,40.0
